2026-02-03 05:36:19 | Games: 0 | Rows: 0
2026-02-03 05:36:42 | Games: 584 | Rows: 1168
2026-02-03 22:50:56 | Games: 584 | Rows: 1168
2026-02-04 13:59:39 | Games: 288 | Rows: 576
2026-02-04 14:02:44 | Games: 4144 | Rows: 8288
2026-02-07 02:53:57 | Games: 1760 | Rows: 3520
2026-02-07 04:59:21 | Games: 1083 | Rows: 2166
2026-02-09 11:52:01 | Games: 144 | Rows: 288
2026-02-09 19:13:57 | Games: 31 | Rows: 62
2026-02-09 19:24:33 | Games: 4468 | Rows: 8936
2026-02-14 23:23:37 | Games: 165 | Rows: 330
2026-02-14 23:50:28 | Games: 0 | Rows: 0
2026-02-15 00:05:34 | Games: 0 | Rows: 0
2026-02-15 00:09:32 | Games: 165 | Rows: 330
2026-02-15 00:33:05 | Games: 165 | Rows: 330
2026-02-16 11:44:06 | Games: 130 | Rows: 260
2026-02-23 11:44:05 | Games: 285 | Rows: 570
2026-02-26 08:50:21 | Games: 1069 | Rows: 2138
2026-03-02 11:35:48 | Games: 284 | Rows: 568
2026-03-09 11:38:37 | Games: 182 | Rows: 364
2026-03-16 11:52:26 | Games: 0 | Rows: 0
2026-03-23 11:49:12 | Games: 68 | Rows: 136
2026-03-30 11:57:10 | Games: 23 | Rows: 46
2026-04-06 11:52:23 | Games: 6 | Rows: 12
2026-04-13 12:07:14 | Games: 0 | Rows: 0
2026-04-20 12:08:49 | Games: 0 | Rows: 0
2026-04-27 12:21:55 | Games: 0 | Rows: 0
2026-05-04 12:22:16 | Games: 0 | Rows: 0
2026-05-11 13:49:59 | Games: 0 | Rows: 0
2026-05-18 14:34:34 | Games: 0 | Rows: 0
2026-05-25 14:12:35 | Games: 0 | Rows: 0
2026-06-01 16:43:18 | Games: 0 | Rows: 0
2026-06-08 14:50:27 | Games: 0 | Rows: 0
2026-06-15 16:20:04 | Games: 0 | Rows: 0
2026-06-22 15:58:07 | Games: 0 | Rows: 0
2026-06-29 14:49:49 | Games: 0 | Rows: 0
2026-07-06 14:30:51 | Games: 0 | Rows: 0
2026-07-13 13:27:36 | Games: 0 | Rows: 0
2026-07-20 13:10:53 | Games: 0 | Rows: 0
2026-07-27 13:41:25 | Games: 0 | Rows: 0
